sample,latitude,longitude,elevation,age,std,method,reference
Thm208,38.63795494,112.4546794,1646,139,10,AFT,Cao et al. (2015)
Thm192,38.42218053,113.0069129,983,60,5,AFT,Cao et al. (2015)
Thm185,38.430476,113.5806834,376,82,6,AFT,Cao et al. (2015)
Thm184,38.40973731,113.6636382,301,68,6,AFT,Cao et al. (2015)
Thm197,38.40558957,113.0193561,1366,133,11,AFT,Cao et al. (2015)
Thm187,38.46158404,113.3774442,482,68,5,AFT,Cao et al. (2015)
Thm211,38.65433276,112.4231369,1958,123,9,AFT,Cao et al. (2015)
Thm104,36.25889121,113.2046548,112,59,6,AFT,Cao et al. (2015)
Thm097,36.1124477,113.6776674,832,53,4,AFT,Cao et al. (2015)
Thm204,38.61915078,112.4892548,1256,140,10,AFT,Cao et al. (2015)
Thm202,38.60322798,112.5087424,1070,154,12,AFT,Cao et al. (2015)
Thm188,38.43254987,113.2778985,556,54,6,AFT,Cao et al. (2015)
Thm102,36.14832636,113.5378138,1200,48,6,AFT,Cao et al. (2015)
Thm209,38.64828514,112.4354405,1767,122,10,AFT,Cao et al. (2015)
Thm206,38.63012777,112.4663753,1468,134,12,AFT,Cao et al. (2015)
Thm200,38.58639515,112.5274697,930,137,11,AFT,Cao et al. (2015)
Thm180,38.30535256,113.8945289,216,48,4,AFT,Cao et al. (2015)
Thm095,36.17761506,113.7421025,649,31,5,AFT,Cao et al. (2015)
Thm090,36.21129707,113.9009937,461,112,12,AFT,Cao et al. (2015)
Thm093,36.1728312,113.7464694,582,33,3,AFT,Cao et al. (2015)
FP-29,38.91,114.319,329,41.8,2.8,AFT,Chang et al. (2019)
FP-46,38.9104,114.1076,337,46.2,2.8,AFT,Chang et al. (2019)
FP-15,39.2063,114.1089,974,98.4,5.2,AFT,Chang et al. (2019)
FP-30,38.9566,114.3314,407,46,2,AFT,Chang et al. (2019)
FP-43,39.0386,114.3497,766,47.1,1.8,AFT,Chang et al. (2019)
FP-44,39.0305,114.3413,665,51.9,1.9,AFT,Chang et al. (2019)
FP-10,39.0926,114.6728,381,49.1,1.9,AFT,Chang et al. (2019)
FP-18,39.2362,114.2723,989,108.7,5.4,AFT,Chang et al. (2019)
FP-36,38.9961,114.3423,513,44.2,2.2,AFT,Chang et al. (2019)
DBS418,34.116,109.5598889,1242,21,2,AFT,Chen et al. (2015)
DBS419,34.12416667,109.5519722,1196,31,2,AFT,Chen et al. (2015)
DBS417,34.10458333,109.5692222,1301,32,3,AFT,Chen et al. (2015)
DBS422,34.14972222,109.53625,990,34,3,AFT,Chen et al. (2015)
DBS420,34.13688889,109.5456667,1133,27,2,AFT,Chen et al. (2015)
DBS421,34.14230556,109.5419444,1080,29,3,AFT,Chen et al. (2015)
HG-1215,39.282623,112.905323,1215,66.7,4.49,AFT,Clinkscales et al. (2020)
HG-1425,39.271339,112.917388,1425,73.63,4.16,AFT,Clinkscales et al. (2020)
HG-1645,39.267996,112.93479,1645,109.29,8.25,AFT,Clinkscales et al. (2020)
HG-1846,39.259733,112.945587,1846,131.07,9.81,AFT,Clinkscales et al. (2020)
HG-2054,39.254958,112.958504,2054,133.47,8.17,AFT,Clinkscales et al. (2020)
HG-2264,39.272743,112.961886,2264,139.11,9.38,AFT,Clinkscales et al. (2020)
WT-3062,39.080199,113.565265,3062,134,15,AFT,Clinkscales et al. (2020)
WT-2611,39.078022,113.585696,2611,137,19,AFT,Clinkscales et al. (2020)
WT-2203,39.076746,113.607916,2203,87,7.1,AFT,Clinkscales et al. (2020)
WT-1799,39.094309,113.640531,1799,75.7,4.9,AFT,Clinkscales et al. (2020)
WT-1403,39.17192,113.621074,1403,82.6,4.3,AFT,Clinkscales et al. (2020)
WT-1238,39.213464,113.594317,1238,92.4,4.6,AFT,Clinkscales et al. (2020)
Q3,34.04198333,109.5843667,1228,56.5,3.5,AFT,Enkelmann et al. (2006)
Q1,34.12878333,109.4271333,740,27.9,1.6,AFT,Enkelmann et al. (2006)
HC130,34.04085,109.5370167,1526,49.5,2.4,AFT,Enkelmann et al. (2006)
Q2,34.0625,109.4946333,1100,43.6,2.1,AFT,Enkelmann et al. (2006)
HC131,34.07435,109.4251167,1310,49.4,3.4,AFT,Enkelmann et al. (2006)
QL-14,34.33883333,110.0448333,1200,65,5,AFT,"Hu et al., (2006)"
QL-13,34.44216667,109.9476667,1700,34,2,AFT,"Hu et al., (2006)"
QL-12,34.50333333,109.9576667,1600,30,4.1,AFT,"Hu et al., (2006)"
hc-18,35.65472222,110.1441667,1362,38,4,AFT,Huang et al. (2016)
hc-13,35.64722222,110.1619444,1186,36,3,AFT,Huang et al. (2016)
hc-22,35.65888889,110.1380556,1448,45,4,AFT,Huang et al. (2016)
hc-19,35.65722222,110.1430556,1390,38,3,AFT,Huang et al. (2016)
LLS6,36.36271667,111.1956667,1058,33.3,1.6,AFT,Li and Song (2010)
LLS12,37.22705,111.22745,1276,33.2,1.5,AFT,Li and Song (2010)
LLS2,35.85115,110.7328333,1160,31,1.5,AFT,Li and Song (2010)
LLS14,37.85308333,111.2293167,1146,43.3,1.6,AFT,Li and Song (2010)
LLS17,38.32623333,112.2691833,1471,28.7,1.2,AFT,Li and Song (2010)
LLS15,38.33893333,111.8416833,1257,36.4,1.6,AFT,Li and Song (2010)
LLS13,37.39661111,111.15395,1050,36.6,1.8,AFT,Li and Song (2010)
LLS18,38.376,112.4715,965,39.9,1.6,AFT,Li and Song (2010)
LLS7,36.49155,110.9043333,826,34.9,2.8,AFT,Li and Song (2010)
LLS8,36.63847222,110.9857,1128,36.4,1.7,AFT,Li and Song (2010)
LLS16,38.33833333,112.2250167,1404,28.6,2.5,AFT,Li and Song (2010)
LLS4,36.19128333,110.6040667,1454,32.4,2.3,AFT,Li and Song (2010)
